Region,Product,Units_Sold,Revenue,Month,Year,Category_x,Category_y,Cost_Per_Unit
West,VetCare Plus,514,302515.0220073952,Jul,2023,Antibiotic,Medicine,444
Central,CanineCare,738,427493.401655142,Jan,2024,Antibiotic,Antibiotic,482
North,FurWell,642,280520.2795654041,Jan,2023,Antibiotic,Medicine,353
North,VetCare Plus,965,520508.753709862,Aug,2023,Medicine,Medicine,444
South,HealthyPaws,834,411874.347158121,Jun,2024,Antibiotic,Supplement,386
West,FurryVax,132,28296.08359288933,Jun,2023,Medicine,Vaccine,183
Central,FurryVax,591,151681.52890209522,Apr,2023,Medicine,Vaccine,183
East,CanineCare,739,427083.1172363872,Jul,2024,Vaccine,Antibiotic,482
East,HealthyPaws,332,182461.69927076597,Feb,2023,Medicine,Supplement,386
West,VetCare Plus,296,175789.80625533083,Feb,2023,Medicine,Medicine,444
West,VetCare Plus,300,159005.5967578173,Jul,2023,Antibiotic,Medicine,444
South,VetCare Plus,193,114055.18872637975,Apr,2024,Supplement,Medicine,444
East,FurWell,359,154632.3337467266,Apr,2023,Antibiotic,Medicine,353
North,HealthyPaws,691,397132.634124912,Aug,2024,Medicine,Supplement,386
West,PawShield,763,324858.26300708787,Jul,2024,Vaccine,Medicine,349
South,CanineCare,296,202923.87851609208,May,2023,Vaccine,Antibiotic,482
North,FurryVax,476,104703.66427903251,Jul,2023,Vaccine,Vaccine,183
East,PetGuard,994,295239.32377087354,Jun,2024,Medicine,Supplement,226
South,VetCare Plus,324,169068.9675247962,Jan,2024,Medicine,Medicine,444
Central,FurWell,540,282652.84270063776,Jun,2023,Supplement,Medicine,353
North,FurWell,244,118711.4732961366,Aug,2023,Vaccine,Medicine,353
South,FurryVax,987,226185.3019721527,Jun,2023,Supplement,Vaccine,183
Central,PawShield,365,163868.2712250239,Jun,2024,Antibiotic,Medicine,349
West,PawShield,986,435501.0666873972,Jun,2023,Supplement,Medicine,349
Central,FurWell,809,377339.92255267344,Jan,2023,Supplement,Medicine,353
Central,FurryVax,352,76784.35192505049,Apr,2023,Supplement,Vaccine,183
Central,FurWell,561,294396.5126753549,May,2024,Antibiotic,Medicine,353
West,CanineCare,222,148534.97161826683,Mar,2024,Vaccine,Antibiotic,482
West,HealthyPaws,988,563690.5998369857,Jan,2023,Medicine,Supplement,386
North,VetCare Plus,472,289804.8444504827,Apr,2023,Medicine,Medicine,444
North,FurWell,567,269630.2361183912,Jun,2024,Medicine,Medicine,353
Central,CanineCare,725,458787.6611550803,Jan,2024,Medicine,Antibiotic,482
West,VetCare Plus,67,38698.769010894895,May,2024,Medicine,Medicine,444
West,HealthyPaws,159,72223.25522632131,Mar,2023,Vaccine,Supplement,386
Central,MediPet,884,312106.4558391888,May,2024,Antibiotic,Supplement,312
West,CanineCare,628,415788.2655453535,Apr,2023,Supplement,Antibiotic,482
North,VetCare Plus,145,85051.16747076872,Jul,2024,Antibiotic,Medicine,444
North,VetCare Plus,769,491030.0094914686,Feb,2023,Antibiotic,Medicine,444
East,PetGuard,966,318852.5229289645,Apr,2023,Vaccine,Supplement,226
Central,CanineCare,327,230073.042615775,Feb,2023,Supplement,Antibiotic,482
Central,VetCare Plus,233,138089.22361589942,Jan,2024,Vaccine,Medicine,444
West,PetGuard,356,110290.21008582972,Apr,2023,Antibiotic,Supplement,226
Central,PawShield,443,173388.43770163629,Feb,2023,Supplement,Medicine,349
West,FurWell,908,476801.31322430045,Jun,2023,Antibiotic,Medicine,353
East,VetCare Plus,699,369713.2472486381,Aug,2024,Antibiotic,Medicine,444
Central,FurryVax,492,126848.74575946838,Jul,2023,Medicine,Vaccine,183
East,FurWell,780,319859.28007629275,Feb,2023,Supplement,Medicine,353
South,FurryVax,374,75428.42856377985,Feb,2024,Medicine,Vaccine,183
East,CanineCare,418,228658.9188743918,Feb,2024,Vaccine,Antibiotic,482
West,CanineCare,620,339436.67789257696,Feb,2024,Medicine,Antibiotic,482
Central,PetGuard,661,181763.7633683009,Jul,2024,Medicine,Supplement,226
West,PetGuard,792,209026.9825539686,Mar,2023,Antibiotic,Supplement,226
East,MediPet,324,117957.8646911757,Mar,2024,Medicine,Supplement,312
East,FurryVax,356,78221.89380698859,Feb,2024,Supplement,Vaccine,183
South,CanineCare,658,366060.1264027122,Aug,2023,Medicine,Antibiotic,482
North,FurryVax,390,88063.04971552813,Jun,2024,Antibiotic,Vaccine,183
Central,HealthyPaws,357,168900.2338061177,Apr,2024,Antibiotic,Supplement,386
West,PawShield,348,151866.26743114894,Apr,2024,Supplement,Medicine,349
West,PawShield,166,85811.94766473882,Mar,2023,Medicine,Medicine,349
West,FurWell,498,240695.57337008868,Feb,2024,Antibiotic,Medicine,353
South,MediPet,297,131178.00367480956,Mar,2024,Antibiotic,Supplement,312
North,CanineCare,662,420379.794431076,Jul,2024,Antibiotic,Antibiotic,482
East,PetGuard,161,49441.29458748965,Jun,2023,Vaccine,Supplement,226
North,FurryVax,820,165699.11951362164,Jul,2024,Medicine,Vaccine,183
East,FurWell,572,253698.09872107467,Aug,2023,Supplement,Medicine,353
Central,HealthyPaws,403,189496.53814376087,Aug,2023,Medicine,Supplement,386
North,PetGuard,901,251931.5183813857,Jun,2023,Supplement,Supplement,226
South,CanineCare,406,271776.5754993171,Feb,2024,Antibiotic,Antibiotic,482
West,PawShield,118,45672.24008571784,Jan,2024,Medicine,Medicine,349
East,PetGuard,743,221780.0688187351,Apr,2023,Vaccine,Supplement,226
East,FurryVax,523,112415.4624927896,Jul,2023,Vaccine,Vaccine,183
West,FurryVax,79,18151.25955064098,Aug,2023,Antibiotic,Vaccine,183
South,FurWell,335,147383.24187727078,Feb,2023,Vaccine,Medicine,353
South,CanineCare,166,107119.13199703635,Aug,2024,Supplement,Antibiotic,482
Central,FurryVax,651,171337.92895417305,Jun,2023,Supplement,Vaccine,183
Central,HealthyPaws,883,417620.0411634139,Feb,2024,Vaccine,Supplement,386
South,MediPet,169,68774.70948732761,Jun,2023,Vaccine,Supplement,312
West,HealthyPaws,638,318835.3202712527,Jul,2024,Vaccine,Supplement,386
Central,HealthyPaws,618,275789.7831418037,Aug,2023,Supplement,Supplement,386
East,CanineCare,684,426564.6981736835,Jun,2023,Medicine,Antibiotic,482
South,FurryVax,625,144827.59241379064,Jul,2024,Antibiotic,Vaccine,183
West,CanineCare,221,129619.80053840502,Jan,2023,Vaccine,Antibiotic,482
East,FurWell,600,280901.90707166604,Mar,2024,Antibiotic,Medicine,353
West,PetGuard,636,189274.05885634068,May,2023,Supplement,Supplement,226
North,CanineCare,609,409308.0601303974,Jul,2023,Medicine,Antibiotic,482
South,MediPet,945,365433.7743385164,Aug,2023,Supplement,Supplement,312
North,CanineCare,936,642567.2608430134,Apr,2023,Vaccine,Antibiotic,482
Central,PawShield,931,459415.88117853296,Mar,2024,Vaccine,Medicine,349
South,VetCare Plus,633,345542.598417276,May,2024,Vaccine,Medicine,444
East,MediPet,636,294693.1090042433,Feb,2024,Vaccine,Supplement,312
West,VetCare Plus,333,171286.15423890698,Mar,2023,Vaccine,Medicine,444
East,FurWell,829,389491.1298475928,Aug,2024,Vaccine,Medicine,353
East,FurryVax,434,100162.2856468709,Feb,2024,Medicine,Vaccine,183
East,PawShield,515,260177.7547038621,Jun,2024,Medicine,Medicine,349
North,CanineCare,700,400538.3280296522,Feb,2024,Antibiotic,Antibiotic,482
West,FurWell,556,242411.01151802405,Jun,2024,Supplement,Medicine,353
Central,HealthyPaws,629,271535.2666769449,Jun,2024,Medicine,Supplement,386
West,VetCare Plus,177,86468.0480422693,Aug,2023,Antibiotic,Medicine,444
West,FurWell,755,386385.2777037631,May,2023,Vaccine,Medicine,353
East,PetGuard,720,203194.5671485927,May,2024,Medicine,Supplement,226
South,VetCare Plus,455,275190.4503352167,Apr,2024,Antibiotic,Medicine,444
North,VetCare Plus,268,159148.44427524478,Feb,2024,Vaccine,Medicine,444
Central,CanineCare,59,42522.25972613799,Jun,2023,Medicine,Antibiotic,482
West,HealthyPaws,539,236293.6754900284,Apr,2023,Antibiotic,Supplement,386
North,PetGuard,370,104783.25367658368,May,2024,Vaccine,Supplement,226
South,HealthyPaws,120,57458.80605442241,Mar,2023,Antibiotic,Supplement,386
South,HealthyPaws,991,434042.77067584434,Aug,2024,Vaccine,Supplement,386
North,HealthyPaws,820,470126.9927457277,Jul,2023,Supplement,Supplement,386
East,HealthyPaws,303,154543.4653041114,Feb,2024,Vaccine,Supplement,386
Central,MediPet,847,345419.38220328366,May,2023,Vaccine,Supplement,312
Central,FurWell,815,406662.82047605497,May,2024,Medicine,Medicine,353
South,CanineCare,445,290683.9115746975,Apr,2023,Antibiotic,Antibiotic,482
North,VetCare Plus,419,268696.5576145507,Mar,2024,Antibiotic,Medicine,444
Central,FurryVax,424,85869.18562488172,Aug,2023,Medicine,Vaccine,183
North,VetCare Plus,318,208889.61045158337,Jan,2023,Medicine,Medicine,444
West,MediPet,693,244966.4847132397,Jul,2024,Antibiotic,Supplement,312
Central,HealthyPaws,334,168184.17876921094,May,2023,Medicine,Supplement,386
South,HealthyPaws,599,283021.6116985311,Jul,2024,Medicine,Supplement,386
West,FurWell,109,44109.82627923307,Feb,2023,Antibiotic,Medicine,353
Central,VetCare Plus,366,224769.07210364775,Feb,2023,Medicine,Medicine,444
North,HealthyPaws,558,268965.2851923565,May,2024,Vaccine,Supplement,386
East,PetGuard,839,229203.9314177516,Jun,2023,Antibiotic,Supplement,226
North,MediPet,779,317010.6056922894,Aug,2023,Antibiotic,Supplement,312
North,CanineCare,929,538249.9474142066,Jun,2023,Vaccine,Antibiotic,482
North,PetGuard,283,76610.20866476563,Jan,2023,Medicine,Supplement,226
West,PawShield,442,203797.32661751803,Mar,2023,Medicine,Medicine,349
West,FurWell,379,161682.01537130374,Jul,2023,Supplement,Medicine,353
North,PawShield,172,85343.92105282811,Mar,2023,Vaccine,Medicine,349
North,FurryVax,120,27031.011296442237,May,2024,Supplement,Vaccine,183
Central,CanineCare,58,37056.31249859239,Apr,2024,Supplement,Antibiotic,482
East,FurWell,525,258155.00715248185,Aug,2024,Vaccine,Medicine,353
Central,FurWell,204,85924.65335472152,Jul,2023,Medicine,Medicine,353
East,VetCare Plus,393,199196.50891387693,Jul,2023,Supplement,Medicine,444
Central,FurWell,479,234128.1727958465,Jan,2024,Vaccine,Medicine,353
North,VetCare Plus,993,565833.3908483548,Jul,2023,Supplement,Medicine,444
North,PetGuard,567,171294.88276217488,Jul,2023,Medicine,Supplement,226
North,FurryVax,728,160454.5027388636,Apr,2023,Supplement,Vaccine,183
East,FurryVax,767,169665.89925051006,Jun,2024,Antibiotic,Vaccine,183
North,FurWell,189,77775.34223493858,Mar,2023,Medicine,Medicine,353
West,PawShield,466,208296.2327549795,Jun,2023,Vaccine,Medicine,349
West,MediPet,922,409357.02239520935,Feb,2023,Vaccine,Supplement,312
East,VetCare Plus,270,165969.4195625677,Mar,2024,Medicine,Medicine,444
East,FurryVax,575,150265.07192952617,May,2023,Supplement,Vaccine,183
South,VetCare Plus,464,264692.9207841949,Apr,2024,Medicine,Medicine,444
South,PetGuard,62,16523.696035579775,Apr,2023,Vaccine,Supplement,226
West,PawShield,752,290981.3657437534,May,2023,Medicine,Medicine,349
North,FurWell,974,502678.487172818,Mar,2024,Medicine,Medicine,353
East,PetGuard,93,30889.16024290889,Jan,2024,Vaccine,Supplement,226
West,FurryVax,558,119383.81425155568,Jul,2023,Antibiotic,Vaccine,183
South,HealthyPaws,331,142313.40833111983,Aug,2024,Vaccine,Supplement,386
Central,FurWell,712,365219.2142859217,Aug,2024,Antibiotic,Medicine,353
West,VetCare Plus,139,78236.99848998111,Jul,2024,Vaccine,Medicine,444
Central,FurWell,695,316941.8527258464,Jul,2023,Supplement,Medicine,353
West,PawShield,984,402458.2592327311,Jul,2024,Supplement,Medicine,349
East,FurWell,80,37044.46717004152,Jan,2024,Antibiotic,Medicine,353
Central,FurWell,213,90723.85947325104,Apr,2023,Vaccine,Medicine,353
North,FurWell,639,264012.6726455662,Jun,2024,Vaccine,Medicine,353
Central,PawShield,875,451656.7994888023,Jan,2024,Supplement,Medicine,349
Central,HealthyPaws,626,282767.9340441796,Aug,2023,Supplement,Supplement,386
North,PetGuard,107,31692.43118765572,Apr,2023,Medicine,Supplement,226
North,PawShield,989,478660.664094878,Mar,2023,Supplement,Medicine,349
East,VetCare Plus,72,45988.92040565192,Mar,2023,Medicine,Medicine,444
East,PetGuard,432,119179.97419541,Feb,2024,Supplement,Supplement,226
South,HealthyPaws,799,360746.0170240316,Aug,2024,Supplement,Supplement,386
Central,PawShield,278,135209.6641223356,Jul,2023,Supplement,Medicine,349
East,HealthyPaws,231,104576.8007426816,Jul,2023,Medicine,Supplement,386
East,FurWell,704,306282.9311693512,Aug,2023,Vaccine,Medicine,353
North,FurWell,405,204249.05200522332,Mar,2024,Medicine,Medicine,353
East,CanineCare,61,40494.50519839913,Apr,2024,Vaccine,Antibiotic,482
East,MediPet,855,334617.0321000207,Jan,2023,Medicine,Supplement,312
West,HealthyPaws,955,457282.7383753981,Aug,2024,Antibiotic,Supplement,386
West,PetGuard,898,259877.9516569113,Apr,2024,Vaccine,Supplement,226
North,MediPet,70,24672.214709833537,May,2024,Medicine,Supplement,312
South,FurryVax,214,52383.56966646726,Feb,2023,Supplement,Vaccine,183
Central,CanineCare,771,499061.236272448,Jul,2023,Vaccine,Antibiotic,482
West,HealthyPaws,104,59804.9000798545,Jun,2023,Vaccine,Supplement,386
West,MediPet,726,257853.64287546583,May,2024,Vaccine,Supplement,312
West,CanineCare,207,126816.98271927546,Jun,2023,Medicine,Antibiotic,482
East,CanineCare,254,143036.65742579818,Jan,2023,Vaccine,Antibiotic,482
East,PetGuard,534,155486.5841439073,May,2023,Antibiotic,Supplement,226
East,PetGuard,707,232354.51737316276,Mar,2024,Supplement,Supplement,226
East,HealthyPaws,506,251180.90390572068,May,2023,Antibiotic,Supplement,386
South,MediPet,627,221892.9628685488,Mar,2023,Medicine,Supplement,312
East,FurryVax,824,215234.78366399172,Jan,2023,Antibiotic,Vaccine,183
West,CanineCare,636,346888.7313673379,Aug,2023,Supplement,Antibiotic,482
North,HealthyPaws,173,99423.4904982555,Mar,2024,Vaccine,Supplement,386
South,HealthyPaws,93,42387.19932497732,Feb,2024,Antibiotic,Supplement,386
South,MediPet,377,155563.11325109744,Feb,2023,Antibiotic,Supplement,312
Central,PawShield,927,457662.18893019087,Aug,2024,Medicine,Medicine,349
Central,FurryVax,165,40057.821450971576,Mar,2024,Vaccine,Vaccine,183
Central,PetGuard,997,326038.70491335395,Feb,2023,Supplement,Supplement,226
East,FurryVax,320,65293.59586573844,Aug,2024,Antibiotic,Vaccine,183
East,FurryVax,197,52484.11599432916,Jan,2024,Antibiotic,Vaccine,183
East,FurWell,100,39115.688386937,May,2024,Supplement,Medicine,353
East,MediPet,337,121310.33248668228,Feb,2024,Vaccine,Supplement,312
West,PawShield,325,144808.18205394436,Feb,2024,Vaccine,Medicine,349
West,CanineCare,827,448937.736771065,Jan,2024,Vaccine,Antibiotic,482
Central,FurryVax,188,49888.284741175536,Mar,2023,Vaccine,Vaccine,183
South,VetCare Plus,305,198689.9069640696,Aug,2023,Medicine,Medicine,444
South,MediPet,427,182845.90919828345,Jul,2024,Medicine,Supplement,312
South,PawShield,550,256205.66547387396,Mar,2024,Antibiotic,Medicine,349
East,PawShield,217,84137.86318057113,Feb,2024,Supplement,Medicine,349
North,HealthyPaws,924,489014.198900716,Apr,2023,Vaccine,Supplement,386
East,FurryVax,575,154113.18478762434,Jan,2023,Antibiotic,Vaccine,183
South,VetCare Plus,279,157263.3964954044,May,2024,Supplement,Medicine,444
West,PawShield,520,221561.31646578776,Apr,2024,Antibiotic,Medicine,349
Central,FurryVax,648,157074.33231700785,Jan,2023,Supplement,Vaccine,183
Central,MediPet,355,136734.7110018458,Aug,2023,Medicine,Supplement,312
East,PawShield,932,382301.80276191,May,2024,Supplement,Medicine,349
Central,FurWell,971,470374.4533080121,Jul,2023,Supplement,Medicine,353
North,CanineCare,352,212980.910478988,Jul,2024,Antibiotic,Antibiotic,482
North,FurWell,401,184433.07590228465,Aug,2023,Supplement,Medicine,353
South,HealthyPaws,350,188649.25690038165,Aug,2023,Vaccine,Supplement,386
Central,HealthyPaws,746,357673.99424523296,Feb,2024,Vaccine,Supplement,386
East,FurryVax,857,209248.3550799976,Jun,2024,Supplement,Vaccine,183
West,PetGuard,531,174701.18557312613,Feb,2023,Antibiotic,Supplement,226
Central,PetGuard,938,237770.9956130313,May,2024,Antibiotic,Supplement,226
South,HealthyPaws,255,113912.02132434136,Jul,2024,Antibiotic,Supplement,386
South,PetGuard,549,167971.3300394594,Mar,2024,Supplement,Supplement,226
North,CanineCare,330,206114.85281424416,Mar,2023,Vaccine,Antibiotic,482
North,HealthyPaws,679,333281.3983701904,Jul,2024,Antibiotic,Supplement,386
West,FurryVax,54,14625.631223276583,Apr,2023,Supplement,Vaccine,183
East,FurWell,68,33063.34721243128,Apr,2023,Vaccine,Medicine,353
East,MediPet,182,66256.02972553748,Jul,2023,Supplement,Supplement,312
North,MediPet,347,157544.6487527894,Jun,2024,Antibiotic,Supplement,312
South,PawShield,973,395930.958919539,Jun,2024,Vaccine,Medicine,349
West,VetCare Plus,283,175112.47814789249,Mar,2023,Vaccine,Medicine,444
Central,HealthyPaws,176,98549.1610127832,Jan,2024,Antibiotic,Supplement,386
East,VetCare Plus,658,327003.98728747305,Feb,2023,Medicine,Medicine,444
North,FurryVax,504,118957.00923065755,Feb,2024,Supplement,Vaccine,183
South,FurWell,761,366594.2760275916,May,2023,Antibiotic,Medicine,353
Central,MediPet,687,279640.4517880655,Jul,2023,Medicine,Supplement,312
Central,PetGuard,339,90363.04613598603,Feb,2023,Antibiotic,Supplement,226
South,MediPet,901,342433.90672627377,Jun,2023,Antibiotic,Supplement,312
North,CanineCare,982,565055.1882042884,Aug,2023,Supplement,Antibiotic,482
North,PetGuard,978,327072.46158600686,Aug,2023,Vaccine,Supplement,226
Central,PetGuard,790,229013.34618054752,May,2023,Vaccine,Supplement,226
East,MediPet,525,237453.68222910468,Feb,2023,Vaccine,Supplement,312
East,PawShield,870,345530.75421858963,Jul,2024,Medicine,Medicine,349
North,VetCare Plus,922,508848.91136719874,Mar,2023,Supplement,Medicine,444
West,MediPet,949,347354.976367546,Jun,2023,Supplement,Supplement,312
West,FurryVax,517,134343.80138457485,Jul,2024,Antibiotic,Vaccine,183
South,PetGuard,185,52948.64753293511,Mar,2023,Medicine,Supplement,226
Central,CanineCare,871,592648.3249933532,Mar,2024,Antibiotic,Antibiotic,482
Central,VetCare Plus,933,474391.0306822168,Aug,2023,Antibiotic,Medicine,444
West,CanineCare,97,51660.55575917775,May,2023,Supplement,Antibiotic,482
Central,FurWell,735,354074.4258446797,Feb,2024,Antibiotic,Medicine,353
South,CanineCare,404,215107.83269452976,Mar,2024,Medicine,Antibiotic,482
South,CanineCare,922,622419.7992742249,Mar,2024,Medicine,Antibiotic,482
East,FurWell,388,180819.6300850371,Jan,2024,Vaccine,Medicine,353
West,FurryVax,886,207159.7584205535,Feb,2023,Antibiotic,Vaccine,183
Central,CanineCare,140,77432.13535063167,Aug,2024,Supplement,Antibiotic,482
West,VetCare Plus,155,91038.70248195223,Jul,2024,Medicine,Medicine,444
North,PetGuard,860,287680.4092262042,Apr,2024,Antibiotic,Supplement,226
East,VetCare Plus,886,520864.1520204823,Aug,2023,Supplement,Medicine,444
Central,CanineCare,783,429855.9267387805,Aug,2024,Medicine,Antibiotic,482
South,VetCare Plus,399,244623.8113645304,May,2024,Supplement,Medicine,444
North,HealthyPaws,554,256979.69739010037,Jul,2023,Medicine,Supplement,386
South,FurWell,173,87317.77880083192,Apr,2024,Antibiotic,Medicine,353
South,PawShield,160,78670.63459836114,Jan,2024,Medicine,Medicine,349
West,CanineCare,724,457896.8742500159,Aug,2023,Medicine,Antibiotic,482
North,FurryVax,908,231333.1659895308,Mar,2024,Vaccine,Vaccine,183
South,PetGuard,446,150367.503450251,Jul,2024,Antibiotic,Supplement,226
South,MediPet,457,202742.86052987783,May,2024,Antibiotic,Supplement,312
South,FurryVax,666,143859.38383025935,Jun,2024,Vaccine,Vaccine,183
Central,MediPet,753,305782.683598026,Mar,2024,Vaccine,Supplement,312
East,PetGuard,829,256618.2855958825,Aug,2024,Antibiotic,Supplement,226
Central,MediPet,948,328343.5571406731,Jan,2024,Medicine,Supplement,312
South,VetCare Plus,736,457521.78445642994,Apr,2023,Supplement,Medicine,444
South,MediPet,749,321610.2917567459,Mar,2024,Medicine,Supplement,312
East,FurWell,821,330674.3152307312,Jun,2023,Antibiotic,Medicine,353
Central,FurWell,810,393775.484794404,Apr,2024,Supplement,Medicine,353
North,FurryVax,446,90203.07870741143,Jun,2024,Medicine,Vaccine,183
East,FurWell,685,339021.0274631813,Apr,2024,Supplement,Medicine,353
Central,FurWell,844,348869.54111536214,May,2023,Antibiotic,Medicine,353
North,HealthyPaws,227,111402.88468536848,Jul,2023,Medicine,Supplement,386
Central,MediPet,183,70355.12519441145,May,2023,Medicine,Supplement,312
South,VetCare Plus,207,119133.02235982084,Jan,2024,Supplement,Medicine,444
Central,PawShield,124,56615.50307622673,Apr,2024,Vaccine,Medicine,349
Central,HealthyPaws,475,217907.66726798052,Feb,2024,Supplement,Supplement,386
South,PawShield,389,200943.02076277224,May,2024,Vaccine,Medicine,349
Central,CanineCare,624,384461.77853222174,Feb,2023,Supplement,Antibiotic,482
Central,FurWell,90,39850.71137923563,Jul,2024,Medicine,Medicine,353
Central,MediPet,75,26150.451546122295,Aug,2024,Antibiotic,Supplement,312
South,PawShield,576,299254.68073666835,Feb,2023,Vaccine,Medicine,349
Central,VetCare Plus,691,443632.55293442326,Apr,2023,Vaccine,Medicine,444
West,PetGuard,260,65194.28924520038,Feb,2024,Vaccine,Supplement,226
East,VetCare Plus,139,87493.90391720162,Jan,2023,Vaccine,Medicine,444
Central,PetGuard,638,180986.6580217329,May,2023,Antibiotic,Supplement,226
West,FurryVax,373,89687.80370639758,Jul,2023,Medicine,Vaccine,183
Central,PetGuard,824,273976.3056907901,Feb,2023,Supplement,Supplement,226
North,MediPet,855,375093.8226138474,Feb,2024,Supplement,Supplement,312
West,FurryVax,454,109118.82750115656,Aug,2023,Vaccine,Vaccine,183
South,FurryVax,865,217009.08778328955,Mar,2024,Supplement,Vaccine,183
East,VetCare Plus,616,301404.67244243866,Feb,2023,Medicine,Medicine,444
Central,FurryVax,600,153645.1860893043,May,2023,Vaccine,Vaccine,183
East,FurWell,472,197992.32332098155,Mar,2023,Vaccine,Medicine,353
East,FurWell,167,80047.78290660167,Jan,2023,Antibiotic,Medicine,353
North,MediPet,737,271096.39635113743,May,2023,Medicine,Supplement,312
Central,CanineCare,388,213201.61057256823,Mar,2024,Vaccine,Antibiotic,482
